sku,marca,descripcion,monto_total,unidades_totales,meses_con_venta,monto_acum,pct_acum,categoria_abc
397-570-040-010,CONDOR,CINTA G8 SOSH 13mm X 1m,169724,2,1,531598250.63978493,0.968520864037032,C
271-150-080-000,CONDOR,ANCLAJE DE EXPANSION CON HOMBRO Y TUERCA 1/2 X 6,168776,32,1,531767026.63978493,0.9688283576699624,C
928-110-230-080,CONDOR,CINTA RATCHET DE EXPEDICION GDJ - GDJ 2 X 8m,167596,10,1,531934622.63978493,0.9691337014564286,C
910-150-190-000,CONDOR,TENSOR OJO - OJO 1.1/2 X 12,163183,2,1,532097805.63978493,0.969431005181499,C
424-100-040-015,CONDOR,"CINTA PLANA EE2-604 X 1,5m TIPO 3",162637,8,1,532260442.63978493,0.9697273141471039,C
397-440-020-020,CONDOR,CINTA G8 QOS4A 8mm X 2m,161438,1,1,532421880.63978493,0.9700214386500725,C
442-100-030-030,CONDOR,CINTA PLANA EE4-603 X 3m TIPO 3,160051,4,1,532581931.63978493,0.9703130361724936,C
559-380-070-020,CONDOR,CORDINO DE ANCLAJE OJ/OJ 1R 6X19 FC ENGR 5/8 X 2m,156504,6,1,532738435.63978493,0.9705981714021954,C
397-490-020-010,CONDOR,CINTA G8 QOSH4A 8mm X 1m,154978,1,1,532893413.63978493,0.970880526406724,C
264-290-200-000,CONDOR,CRAMPON 10 PUNTAS CON ANTIBOTAS 2857 ALLOY STEEL,153621,1,1,533047034.63978493,0.9711604090878185,C
902-010-050-050,CONDOR,WINCHE MANUAL 1t CON CUERDA DE IZAJE Y MANDO MODIFICADA 5m,153290,1,1,533200324.63978493,0.9714396887187607,C
923-005-025-000,CONDOR,CABO DE VIDA PERLON TRENZADO MOSQUETON ESTRUCTURERO,152013,12,5,533352337.63978493,0.9717166417785718,C
559-390-070-016,CONDOR,"CORDINO DE ANCLAJE OJ/OJ 1R 6X19 FC GALV 5/8 X 1,6m",150427,8,1,533502764.63978493,0.9719907052989825,C
424-100-040-010,CONDOR,CINTA PLANA EE2-604 X 1m TIPO 3,144560,10,1,533647324.63978493,0.9722540797098965,C
694-160-050-000,CONDOR,ANCLA VERTICAL 3t,142261,1,1,533789585.63978493,0.9725132655640127,C
442-100-030-040,CONDOR,CINTA PLANA EE4-603 X 4m TIPO 3,142137,3,1,533931722.63978493,0.9727722255020599,C
925-035-005-000,CONDOR,UNION PARA FIJAR CABLE,141604,2,2,534073326.63978493,0.9730302143653904,C
739-100-030-000,CONDOR,POLEA DE RESCATE DOBLE CON MOSQUETON 3t,139965,1,1,534213291.63978493,0.9732852171284202,C
264-270-050-000,CONDOR,CRAMPON TIPO ARANA RV-250 ALLOY STEEL,139362,2,2,534352653.63978493,0.9735391212834686,C
694-175-040-000,CONDOR,ANCLA DE VIGA COLGANTE 2t,139050,2,1,534491703.63978493,0.9737924570045368,C
613-470-030-000,CONDOR,MOSQUETON DE SEGURO CON OJO G8 10mm,138718,6,1,534630421.63978493,0.9740451878535488,C
