sku,descripcion,K,h,p,s_opt,S_opt,costo_opt,nivel_servicio_opt,cumple_objetivo
433-100-020-030,CINTA PLANA EE3-602 X 3m TIPO 3,10909.992753623188,464.9093548387097,5233.490969108544,9,20,9354.381765591148,0.9501707498265425,TRUE
442-100-020-020,CINTA PLANA EE4-602 X 2m TIPO 3,10909.992753623188,445.92380952380955,4982.819823908569,7,19,8469.058538405989,0.9517320847963477,TRUE
264-290-080-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2819 ALLOY STEEL,10909.992753623188,907.322,9958.49841946103,30,31,31355.02673071047,0.9302681483473102,FALSE
289-110-230-000,CARRO PORTA WINCHE DE ARRASTRE 2t,10909.992753623188,2380.061818181818,25764.61536063493,5,7,17425.59531521737,0.9528136941137985,TRUE
631-130-120-000,CONECTOR RAPIDO OVALADO ROSCADO 7/8,10909.992753623188,214.81333333333333,2479.9983955001767,10,39,7438.622748815464,0.9508649437002162,TRUE
424-100-030-030,CINTA PLANA EE2-603 X 3m TIPO 3,10909.992753623188,427.667,4980.850881386556,3,15,6452.939303454199,0.9518599160783793,TRUE
442-100-020-015,"CINTA PLANA EE4-602 X 1,5m TIPO 3",10909.992753623188,264.955625,2869.726864748505,36,41,12296.791208666862,0.95281879156503,TRUE
541-120-002-030,CINTA TUBULAR EE 2t X 3m,10909.992753623188,644.1605405405405,6992.074543674721,7,12,9410.775428878085,0.9559846855154976,TRUE
613-460-040-000,MOSQUETON DE SEGURO GIRATORIO G8 10mm,10909.992753623188,722.2121212121212,7965.862200956937,3,6,6934.491723048161,0.9818668104913688,TRUE
901-170-010-000,"WINCHE DE PALANCA 0,5t",10909.992753623188,1687.4914285714287,18933.360392322917,2,5,8839.776745230198,0.9549683371208904,TRUE
298-110-060-000,CASQUILLO DE PRENSADO PARA CUERDA 3/4,10909.992753623188,56.008097560975614,624.0984026311677,48,110,7180.448429537917,0.9573809668714687,TRUE
613-460-060-000,MOSQUETON DE SEGURO GIRATORIO G8 13mm,10909.992753623188,1741.5107692307695,19430.774136715874,6,7,15870.806285331713,0.9505779040529589,TRUE
264-280-070-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 1854 ALLOY STEEL,10909.992753623188,885.0136,9629.472167518408,3,7,7752.307313650852,0.9750985954858954,TRUE
901-140-030-000,"WINCHE MANUAL 1,5t",10909.992753623188,2187.904,24025.238052631576,1,3,8109.925330760009,0.9559189669028777,TRUE
613-260-080-000,MOSQUETON GIRATORIO 10t,10909.992753623188,2018.0520000000001,22031.39188397434,34,35,72299.62303018717,0.9501056822161598,TRUE
424-100-020-030,CINTA PLANA EE2-602 X 3m TIPO 3,10909.992753623188,230.97883720930233,2776.45931683916,4,25,5450.4280902052615,0.9542530302727162,TRUE
433-100-030-060,CINTA PLANA EE3-603 X 6m TIPO 3,10909.992753623188,689.5162962962963,7603.84343038583,22,23,18364.068161478677,0.9524695333180392,TRUE
928-110-010-000,"CINTA RATCHET DE EXPEDICION GDJ - GDJ 1 X 4,5m",10909.992753623188,116.27522012578616,1437.6172478617593,15,49,5990.193419503064,0.9501021046184637,TRUE
