sku,p_venta,n_pos,dist_ganadora,aic_normal,aic_gamma,aic_lnorm,par1,par2,descripcion,monto_total
442-100-040-060,0.4444444444444444,8,lnorm,30.889001681391147,28.482833213512205,28.079759786596583,0.6491196063612763,0.569456345620634,CINTA PLANA EE4-604 X 6m TIPO 3,1939944
433-100-020-060,0.5,9,gamma,54.24065420514187,52.471411995173646,52.699664368704255,2.2584429599562936,0.3566439312097743,CINTA PLANA EE3-602 X 6m CON PROTECCION TUBULAR,1888705
901-170-020-000,0.5,9,lnorm,33.65912358090871,31.591653083862703,31.384372003622143,0.7629925871624313,0.5165531352204883,"WINCHE DE PALANCA 0,75t",1840263
271-190-020-000,0.5555555555555556,10,lnorm,90.82464417656568,81.17230663149273,78.47485724234805,2.5290311187807486,0.7991338783498274,ANCLAJE SOLDABLE 3t,1792977
433-100-020-080,0.3333333333333333,6,gamma,42.12631176749497,39.99662276350328,40.85108386016887,1.7507598276058738,0.2188073556681192,CINTA PLANA EE3-602 X 8m TIPO 3,1767827
901-140-040-000,0.3333333333333333,6,gamma,20.320564184517774,19.804830768423862,19.965839391746023,5.936373476707377,2.5440168586093943,WINCHE MANUAL 2t,1747305
334-100-030-000,0.5555555555555556,10,lnorm,113.41882405948847,88.92925527365922,83.54661390372607,2.2992997105069377,1.2957535936212061,CONECTOR GIRATORIO G8 8mm,1713155
631-130-100-000,0.8333333333333334,15,lnorm,117.8869439537715,106.86283506733955,104.55871691996569,2.3852225405744836,0.6362244665297576,CONECTOR RAPIDO OVALADO ROSCADO 3/4,1622649
433-100-020-015,0.6111111111111112,11,gamma,74.65049714331596,73.32862246202531,74.30052977417199,2.5055659961349592,0.241774003488313,"CINTA PLANA EE3-602 X 1,5m TIPO 3",1622288
739-110-012-000,0.3888888888888889,7,gamma,22.085500496175733,21.330932505491514,21.437515303588956,6.774566344142352,2.9639193745231944,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 2t,1509574
613-450-040-000,0.5555555555555556,10,gamma,56.25722003354215,54.14766322123627,55.07572847238193,2.0412315713301337,0.4002229204197865,MOSQUETON DE SEGURO CONECTOR G8 10mm,1484477
424-100-020-010,0.8333333333333334,15,normal,105.94666494404176,106.61857505928299,109.93871972357664,13.466666666666667,7.2375563709184485,CINTA PLANA EE2-602 X 1m TIPO 3,1456721
433-100-020-030,0.5555555555555556,10,lnorm,68.36831812995294,59.26725857470722,57.07613284242621,1.485445776431065,0.7783510250766125,CINTA PLANA EE3-602 X 3m TIPO 3,1441219
442-100-020-020,0.5,9,gamma,54.740782865535174,53.40872636427215,53.893199210814956,2.6088001013009814,0.3726585740589834,CINTA PLANA EE4-602 X 2m TIPO 3,1404660
264-290-080-000,0.3333333333333333,6,lnorm,41.88385453746771,35.066041991947024,33.54824010235407,0.8539939965672098,1.2085494176987297,CRAMPON 10 PUNTAS CON ANTIBOTAS 2819 ALLOY STEEL,1360983
289-110-230-000,0.2222222222222222,4,lnorm,20.571303152301134,18.648821639833308,18.156563475685623,0.7945134575869863,0.641541402845033,CARRO PORTA WINCHE DE ARRASTRE 2t,1309034
631-130-120-000,0.7222222222222222,13,lnorm,88.90539943650718,83.92521671509283,83.74028643520829,1.9815376801388491,0.7163817242343259,CONECTOR RAPIDO OVALADO ROSCADO 7/8,1288880
424-100-030-030,0.7777777777777778,14,lnorm,66.82248438840003,63.64948992942072,63.13424313598313,1.3116252343949408,0.5386838050643115,CINTA PLANA EE2-603 X 3m TIPO 3,1283001
442-100-020-015,0.2222222222222222,4,gamma,39.33731662011347,37.42284895499206,37.48029055845,0.975635277307057,0.040654080490767464,"CINTA PLANA EE4-602 X 1,5m TIPO 3",1271787
541-120-002-030,0.2222222222222222,4,lnorm,25.185587844096602,24.263648860231353,23.919468836775973,2.1646731884224844,0.334982121569604,CINTA TUBULAR EE 2t X 3m,1191697
613-460-040-000,0.3333333333333333,6,normal,17.79328339405995,18.448737983639134,18.80817860917717,5.5,0.7637626158259734,MOSQUETON DE SEGURO GIRATORIO G8 10mm,1191650
901-170-010-000,0.4444444444444444,8,lnorm,26.186708362174198,22.962864997982717,21.971114576571384,0.4332169878499658,0.4824100212647213,"WINCHE DE PALANCA 0,5t",1181244
298-110-060-000,0.3888888888888889,7,lnorm,66.48553753379683,65.29187339203047,64.8784040948267,4.010375038664655,0.33930490993297024,CASQUILLO DE PRENSADO PARA CUERDA 3/4,1148166
613-460-060-000,0.3888888888888889,7,lnorm,25.512338073406674,22.835963885187844,22.01119233308946,0.45400769004970654,0.55630838724497,MOSQUETON DE SEGURO GIRATORIO G8 13mm,1131982
264-280-070-000,0.2222222222222222,4,lnorm,16.03890929334402,15.748723864610179,15.637682111668704,1.8180995981425114,0.1682460365929924,CRAMPON 10 PUNTAS CON ANTIBOTAS 1854 ALLOY STEEL,1106267
901-140-030-000,0.2777777777777778,5,normal,13.607931672675953,13.829500032518421,14.174637898941956,2,0.6324555320336759,"WINCHE MANUAL 1,5t",1093952
613-260-080-000,0.2222222222222222,4,gamma,18.595229130502698,17.955395036051748,17.964582345463626,2.3942489176770985,0.9577553612653917,MOSQUETON GIRATORIO 10t,1009026
424-100-020-030,0.7777777777777778,14,lnorm,83.95534043110965,75.68675444871013,72.7485532121415,1.6414532848225585,0.5460272772427595,CINTA PLANA EE2-602 X 3m TIPO 3,993209
433-100-030-060,0.2777777777777778,5,lnorm,33.78797659872164,30.77852923959406,30.71761778406841,1.2080509422554828,1.045789709561426,CINTA PLANA EE3-603 X 6m TIPO 3,930847
928-110-010-000,0.8888888888888888,16,lnorm,122.50770704325768,108.67573706173022,105.70776201883217,1.8815032717019164,0.8850826559178167,"CINTA RATCHET DE EXPEDICION GDJ - GDJ 1 X 4,5m",924388
