sku,descripcion,monto_total,dist_ganadora,dlt_media_val,dlt_sd,dlt_p50,dlt_p90,dlt_p95
433-100-030-080,CINTA PLANA EE3-603 X 8m TIPO 3,2432072,gamma,1.5216499320953965,2.647409185394478,0,4.898239509685207,6.950701082843397
424-100-020-015,"CINTA PLANA EE2-602 X 1,5m TIPO 3",2397972,gamma,9.365213784212749,13.273033253409338,4.833471607584459,24.499402895699237,34.72535291883266
901-140-010-000,"WINCHE MANUAL 0,5t",2294298,gamma,0.8116485179529823,1.1611779145706902,0,2.3524878579664676,3.232480309813368
901-140-050-000,WINCHE MANUAL 3t,2290261,lnorm,0.4614322693235071,1.1258252803979814,0,1.4503892996201275,2.3078534677653533
901-170-070-000,WINCHE DE PALANCA 9t,2267033,constante,0.12564,0.26766475582119054,0,0.5,1
631-130-140-000,CONECTOR RAPIDO OVALADO ROSCADO 1,2214946,gamma,4.946920976241209,5.3859065414492235,3.381491246667074,11.859744222475006,15.497730186569436
433-100-020-020,CINTA PLANA EE3-602 X 2m TIPO 3,2176060,gamma,5.175851592982115,6.021544999219675,3.3191404479226643,12.408911271602472,16.91557673534209
694-190-020-000,ANCLA VERTICAL ARTICULADA 2t,2113696,lnorm,0.5615647257556691,1.7388359286483137,0,1.8254300562364265,3.3874618025144563
901-170-025-000,WINCHE DE PALANCA 1t,1942004,lnorm,0.54413897906319,0.9962971114994269,0,1.6697532363778949,2.4390905513091234
442-100-040-060,CINTA PLANA EE4-604 X 6m TIPO 3,1939944,lnorm,0.5585922842270322,0.9574134273598377,0,1.7080995694962693,2.424906724269271
433-100-020-060,CINTA PLANA EE3-602 X 6m CON PROTECCION TUBULAR,1888705,gamma,1.7957028485524973,2.924893602250191,0.11216622393424305,5.437635380581572,7.598352659110097
901-170-020-000,"WINCHE DE PALANCA 0,75t",1840263,lnorm,0.69233271666847,1.063648409591517,0.17156812939698987,1.9930363719798683,2.6386949654002203
271-190-020-000,ANCLAJE SOLDABLE 3t,1792977,lnorm,5.36656172630038,9.259723354917005,1.8800844852848628,14.911137434417729,22.05021331056073
433-100-020-080,CINTA PLANA EE3-602 X 8m TIPO 3,1767827,gamma,1.484534885793918,3.2795823635728834,0,5.201367961137684,8.198323071449632
901-140-040-000,WINCHE MANUAL 2t,1747305,gamma,0.43495391332284944,0.7945181957612016,0,1.5074424325511566,2.125669026341065
334-100-030-000,CONECTOR GIRATORIO G8 8mm,1713155,lnorm,7.107487209041099,24.056587228333502,0.8392674550623354,16.762988292098516,29.70320099693236
631-130-100-000,CONECTOR RAPIDO OVALADO ROSCADO 3/4,1622649,lnorm,6.191610660444785,6.837152228806758,4.379315438621845,14.103685945959858,18.98915933735126
433-100-020-015,"CINTA PLANA EE3-602 X 1,5m TIPO 3",1622288,gamma,3.502927620457894,4.681003570533581,1.907187418188689,9.600443913623014,12.913292078363174
739-110-012-000,POLEA DE RESCATE SIMPLE CON CONECTOR RAPIDO 2t,1509574,gamma,0.4923974444211193,0.8118697411111931,0,1.6148825323392009,2.202143315221194
613-450-040-000,MOSQUETON DE SEGURO CONECTOR G8 10mm,1484477,gamma,1.6137916194266997,2.4572415177283276,0.6183272828372086,4.578424978506944,6.487173963276419
424-100-020-010,CINTA PLANA EE2-602 X 1m TIPO 3,1456721,normal,6.279446440197197,5.908721253336981,4.946887682140815,14.247769160379905,18.101577413644407
433-100-020-030,CINTA PLANA EE3-602 X 3m TIPO 3,1441219,lnorm,1.831853340459984,3.170709684053116,0.6125760748419902,5.265439148521757,7.5748767184603185
442-100-020-020,CINTA PLANA EE4-602 X 2m TIPO 3,1404660,gamma,1.8962838513682228,2.970810252894364,0,5.658934782468429,7.794034054818511
264-290-080-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 2819 ALLOY STEEL,1360983,lnorm,0.8808670025607598,3.4894743994919275,0,2.3061788337358125,4.215253607690202
289-110-230-000,CARRO PORTA WINCHE DE ARRASTRE 2t,1309034,lnorm,0.32738210223632935,0.89246582790782,0,1.1828196059531795,2.0004923507255286
631-130-120-000,CONECTOR RAPIDO OVALADO ROSCADO 7/8,1288880,lnorm,3.8228865817019915,5.100403340817029,2.3487261203635796,9.47562003936096,13.384283163990744
424-100-030-030,CINTA PLANA EE2-603 X 3m TIPO 3,1283001,lnorm,1.8509241790343443,2.0040591717778633,1.3670063361436893,4.220538727061259,5.599315687373226
442-100-020-015,"CINTA PLANA EE4-602 X 1,5m TIPO 3",1271787,gamma,3.048849651950573,9.751437029029082,0,9.190767704118278,19.204230357841926
541-120-002-030,CINTA TUBULAR EE 2t X 3m,1191697,lnorm,1.173192201713399,2.6665512817430304,0,4.815502878125423,7.156943214511891
613-460-040-000,MOSQUETON DE SEGURO GIRATORIO G8 10mm,1191650,normal,1.0194239602749469,1.7002995996457764,0,3.2091786177901764,5.227890995261809
901-170-010-000,"WINCHE DE PALANCA 0,5t",1181244,lnorm,0.4290610543214918,0.6907715257688951,0,1.3049684444603884,1.813069845023091
298-110-060-000,CASQUILLO DE PRENSADO PARA CUERDA 3/4,1148166,lnorm,12.657193535673825,20.610820364523057,0,41.69145331557912,55.630878778403094
613-460-060-000,MOSQUETON DE SEGURO GIRATORIO G8 13mm,1131982,lnorm,0.40963016707494965,0.7539657295646104,0,1.3100520419764003,1.8999715154869743
264-280-070-000,CRAMPON 10 PUNTAS CON ANTIBOTAS 1854 ALLOY STEEL,1106267,lnorm,0.7935200655904339,1.7207175668105399,0,3.2612874005906902,5.0938173784928695
901-140-030-000,"WINCHE MANUAL 1,5t",1093952,normal,0.30340217523895247,0.608825066505627,0,1.1763590292177344,1.6700509607606375
613-260-080-000,MOSQUETON GIRATORIO 10t,1009026,gamma,0.30096069773554346,0.8068707648631477,0,1.1464500848929666,1.9143576489453829
424-100-020-030,CINTA PLANA EE2-602 X 3m TIPO 3,993209,lnorm,2.6000798250309143,2.815750026185929,1.911522774123,6.048363801540484,7.965861477166407
433-100-030-060,CINTA PLANA EE3-603 X 6m TIPO 3,930847,lnorm,0.9547202534942811,3.1105715119477995,0,2.6422027906721794,5.13601689501274
928-110-010-000,"CINTA RATCHET DE EXPEDICION GDJ - GDJ 1 X 4,5m",924388,lnorm,4.940640103304906,7.147834979494233,2.7752588456135046,11.620022891074079,17.0573060686008
